cve_ent,entidad,cve_alc,alc,cve_col,colonia,clasif,SISTEMA,NOMBRE,LINEA,EST,CVE_EOD17,TIPO,ALCALDIAS,AÑO,CVE_EST
09,Ciudad de México,017,Venustiano Carranza,017-016,Ampliacion Penitenciaria,Colonia,Metrobús,Ferrocarril de Cintura,04,57,11126,Intermedia,Venustiano Carranza,2012,MB0457
09,Ciudad de México,017,Venustiano Carranza,017-067,Zona Centro,Colonia,Metrobús,Mixcalco,04,11,11136,Intermedia,Cuauhtémoc / Venustiano Carranza,2012,MB0411
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Mixcalco,04,56,11136,Intermedia,Cuauhtémoc / Venustiano Carranza,2012,MB0456
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Teatro del Pueblo,04,10,11149,Intermedia,Cuauhtémoc,2012,MB0410
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Teatro del Pueblo,04,55,11149,Intermedia,Cuauhtémoc,2012,MB0455
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,República de Argentina,04,54,11145,Intermedia,Cuauhtémoc,2012,MB0454
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,República de Argentina,04,09,11145,Intermedia,Cuauhtémoc,2012,MB0409
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,República de Chile,04,08,11146,Intermedia,Cuauhtémoc,2012,MB0408
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,República de Chile,04,69,11146,Intermedia,Cuauhtémoc,2012,MB0469
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Teatro Blanquita,04,07,11148,Intermedia,Cuauhtémoc,2012,MB0407
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Teatro Blanquita,04,53,11148,Intermedia,Cuauhtémoc,2012,MB0453
